# name: testlevel
size: 16,8
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 1,0 WallTile
t: 1,7 WallTile
t: 2,0 WallTile
t: 2,2 ExitTile
t: 2,7 WallTile
t: 3,0 WallTile
t: 3,7 WallTile
t: 4,0 WallTile
t: 4,7 WallTile
t: 5,0 WallTile
t: 5,7 WallTile
t: 6,0 WallTile
t: 6,7 WallTile
t: 7,0 WallTile
t: 7,7 WallTile
t: 8,0 WallTile
t: 8,7 WallTile
t: 9,0 WallTile
t: 9,7 WallTile
t: 10,0 WallTile
t: 10,7 WallTile
t: 11,0 WallTile
t: 11,7 WallTile
t: 12,0 WallTile
t: 12,7 WallTile
t: 13,0 WallTile
t: 13,7 WallTile
t: 14,0 WallTile
t: 14,7 WallTile
t: 15,0 WallTile
t: 15,1 WallTile
t: 15,2 WallTile
t: 15,3 WallTile
t: 15,4 WallTile
t: 15,5 WallTile
t: 15,6 WallTile
t: 15,7 WallTile
e: 6,2 Rotator[0,1,0;1,1,0;0,0,0]
e: 7,4 Rotator[0,1,0;1,1,0;0,0,0]
e: 6,5 Rotator[0,1,0;0,1,1;0,0,0]
e: 8,5 Rotator[0,0,0;0,1,1;0,1,0]
e: 9,3 Rotator[0,0,0;0,1,1;0,1,0]
e: 8,2 Rotator[0,0,0;1,1,0;0,1,0]
e: 13,2 Player
e: 13,5 Player1
