# name: testlevel
size: 13,13
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 0,9 WallTile
t: 0,10 WallTile
t: 0,11 WallTile
t: 0,12 WallTile
t: 1,0 WallTile
t: 1,6 ExitTile
t: 1,12 WallTile
t: 2,0 WallTile
t: 2,12 WallTile
t: 3,0 WallTile
t: 3,1 WallTile
t: 3,2 WallTile
t: 3,3 WallTile
t: 3,4 WallTile
t: 3,5 WallTile
t: 3,7 WallTile
t: 3,8 WallTile
t: 3,9 WallTile
t: 3,10 WallTile
t: 3,11 WallTile
t: 3,12 WallTile
t: 4,0 WallTile
t: 4,5 WaterTile
t: 4,6 WaterTile
t: 4,7 WaterTile
t: 4,12 WallTile
t: 5,0 WallTile
t: 5,1 WaterTile
t: 5,5 WaterTile
t: 5,6 WaterTile
t: 5,7 WaterTile
t: 5,11 WaterTile
t: 5,12 WallTile
t: 6,0 WallTile
t: 6,5 WallTile
t: 6,6 WaterTile
t: 6,7 WallTile
t: 6,12 WallTile
t: 7,0 WallTile
t: 7,1 WaterTile
t: 7,6 WaterTile
t: 7,11 WaterTile
t: 7,12 WallTile
t: 8,0 WallTile
t: 8,1 WallTile
t: 8,2 WallTile
t: 8,10 WallTile
t: 8,11 WallTile
t: 8,12 WallTile
t: 9,0 WallTile
t: 9,3 WallTile
t: 9,4 WallTile
t: 9,8 WallTile
t: 9,9 WallTile
t: 9,12 WallTile
t: 10,0 WallTile
t: 10,12 WallTile
t: 11,0 WallTile
t: 11,12 WallTile
t: 12,0 WallTile
t: 12,1 WallTile
t: 12,2 WallTile
t: 12,3 WallTile
t: 12,4 WallTile
t: 12,5 WallTile
t: 12,6 WallTile
t: 12,7 WallTile
t: 12,8 WallTile
t: 12,9 WallTile
t: 12,10 WallTile
t: 12,11 WallTile
t: 12,12 WallTile
e: 8,5 Pusher[1,1,1]
e: 9,6 Pusher[1;1]
e: 11,6 Player
e: 5,3 Pusher[1]
e: 6,1 Pusher[1,1,1]
e: 6,9 Pusher[1,1,1]
e: 5,9 Pusher[1]
