# name: testlevel
size: 16,16
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 0,9 WallTile
t: 0,10 WallTile
t: 0,11 WallTile
t: 0,12 WallTile
t: 0,13 WallTile
t: 0,14 WallTile
t: 0,15 WallTile
t: 1,0 WallTile
t: 1,4 WallTile
t: 1,11 WallTile
t: 1,15 WallTile
t: 2,0 WallTile
t: 2,4 WallTile
t: 2,11 WallTile
t: 2,15 WallTile
t: 3,0 WallTile
t: 3,4 WallTile
t: 3,11 WallTile
t: 3,15 WallTile
t: 4,0 WallTile
t: 4,4 WallTile
t: 4,5 WallTile
t: 4,6 WallTile
t: 4,7 WaterTile
t: 4,8 WaterTile
t: 4,9 WaterTile
t: 4,10 WaterTile
t: 4,11 WaterTile
t: 4,12 WaterTile
t: 4,13 WallTile
t: 4,14 WallTile
t: 4,15 WallTile
t: 5,0 WallTile
t: 5,2 WaterTile
t: 5,3 WaterTile
t: 5,4 WaterTile
t: 5,7 WaterTile
t: 5,8 WaterTile
t: 5,9 WaterTile
t: 5,10 WaterTile
t: 5,15 WallTile
t: 6,0 WallTile
t: 6,1 WallTile
t: 6,2 WallTile
t: 6,7 WaterTile
t: 6,8 WaterTile
t: 6,9 WaterTile
t: 6,15 WallTile
t: 7,0 WallTile
t: 7,1 ExitTile
t: 7,2 WallTile
t: 7,15 WallTile
t: 8,0 WallTile
t: 8,1 WaterTile
t: 8,2 WallTile
t: 8,9 WaterTile
t: 8,10 WaterTile
t: 8,15 WallTile
t: 9,0 WallTile
t: 9,1 WaterTile
t: 9,2 WaterTile
t: 9,3 WaterTile
t: 9,9 WaterTile
t: 9,10 WaterTile
t: 9,15 WallTile
t: 10,0 WallTile
t: 10,2 WaterTile
t: 10,3 WaterTile
t: 10,7 WaterTile
t: 10,10 WaterTile
t: 10,15 WallTile
t: 11,0 WallTile
t: 11,4 WallTile
t: 11,5 WaterTile
t: 11,6 WaterTile
t: 11,7 WaterTile
t: 11,10 WallTile
t: 11,11 WallTile
t: 11,12 WallTile
t: 11,13 WallTile
t: 11,14 WallTile
t: 11,15 WallTile
t: 12,0 WallTile
t: 12,4 WallTile
t: 12,5 WaterTile
t: 12,6 WaterTile
t: 12,7 WaterTile
t: 12,10 WaterTile
t: 12,14 WaterTile
t: 12,15 WallTile
t: 13,0 WallTile
t: 13,4 WallTile
t: 13,10 WaterTile
t: 13,14 WaterTile
t: 13,15 WallTile
t: 14,0 WallTile
t: 14,4 WallTile
t: 14,10 WaterTile
t: 14,14 WaterTile
t: 14,15 WallTile
t: 15,0 WallTile
t: 15,1 WallTile
t: 15,2 WallTile
t: 15,3 WallTile
t: 15,4 WallTile
t: 15,5 WallTile
t: 15,6 WallTile
t: 15,7 WallTile
t: 15,8 WallTile
t: 15,9 WallTile
t: 15,10 WallTile
t: 15,11 WallTile
t: 15,12 WallTile
t: 15,13 WallTile
t: 15,14 WallTile
t: 15,15 WallTile
e: 2,2 Pusher[1;1;1]
e: 2,8 Pusher[1,1,1;1,1,1]
e: 2,13 Pusher[1;1]
e: 8,11 Pusher[1,1;1,1;1,1]
e: 12,11 Pusher[1,1;1,1]
e: 6,13 Player
e: 13,2 Pusher[1,1]
e: 13,5 Pusher[1,1,1]
