# name: testlevel
size: 15,9
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 1,0 WallTile
t: 1,1 WallTile
t: 1,7 WallTile
t: 1,8 WallTile
t: 2,0 WallTile
t: 2,1 WallTile
t: 2,4 ExitTile
t: 2,7 WallTile
t: 2,8 WallTile
t: 3,0 WallTile
t: 3,1 WallTile
t: 3,7 WallTile
t: 3,8 WallTile
t: 4,0 WallTile
t: 4,1 WallTile
t: 4,7 WallTile
t: 4,8 WallTile
t: 5,0 WallTile
t: 5,8 WallTile
t: 6,0 WallTile
t: 6,8 WallTile
t: 7,0 WallTile
t: 7,8 WallTile
t: 8,0 WallTile
t: 8,8 WallTile
t: 9,0 WallTile
t: 9,8 WallTile
t: 10,0 WallTile
t: 10,1 WallTile
t: 10,7 WallTile
t: 10,8 WallTile
t: 11,0 WallTile
t: 11,1 WallTile
t: 11,7 WallTile
t: 11,8 WallTile
t: 12,0 WallTile
t: 12,1 WallTile
t: 12,7 WallTile
t: 12,8 WallTile
t: 13,0 WallTile
t: 13,1 WallTile
t: 13,7 WallTile
t: 13,8 WallTile
t: 14,0 WallTile
t: 14,1 WallTile
t: 14,2 WallTile
t: 14,3 WallTile
t: 14,4 WallTile
t: 14,5 WallTile
t: 14,6 WallTile
t: 14,7 WallTile
t: 14,8 WallTile
e: 12,4 Player
e: 6,2 Rotator[0,0,0;1,1,1;0,0,0]
e: 8,2 Rotator[0,1,0;0,1,0;0,0,0]
e: 5,4 Rotator[0,1,0;1,1,1;0,1,0]
e: 6,6 Rotator[0,0,0;1,1,1;0,0,0]
e: 8,4 Rotator[0,1,0;0,1,0;0,0,0]
e: 8,6 Rotator[0,1,0;0,1,0;0,0,0]
