# name: testlevel
size: 17,19
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 0,9 WallTile
t: 0,10 WallTile
t: 0,11 WallTile
t: 0,12 WallTile
t: 0,13 WallTile
t: 0,14 WallTile
t: 0,15 WallTile
t: 0,16 WallTile
t: 0,17 WallTile
t: 0,18 WallTile
t: 1,0 WallTile
t: 1,7 WallTile
t: 1,15 WallTile
t: 1,18 WallTile
t: 2,0 WallTile
t: 2,3 ExitTile
t: 2,7 WallTile
t: 2,15 WallTile
t: 2,18 WallTile
t: 3,0 WallTile
t: 3,7 WallTile
t: 3,9 WaterTile
t: 3,15 WallTile
t: 3,18 WallTile
t: 4,0 WallTile
t: 4,7 WallTile
t: 4,18 WallTile
t: 5,0 WallTile
t: 5,3 WallTile
t: 5,4 WallTile
t: 5,5 WallTile
t: 5,6 WallTile
t: 5,7 WallTile
t: 5,8 WallTile
t: 5,9 WallTile
t: 5,13 WallTile
t: 5,14 WallTile
t: 5,15 WallTile
t: 5,16 WallTile
t: 5,17 WallTile
t: 5,18 WallTile
t: 6,0 WallTile
t: 6,3 WaterTile
t: 6,4 WaterTile
t: 6,5 WaterTile
t: 6,6 WaterTile
t: 6,7 WaterTile
t: 6,8 WaterTile
t: 6,9 WaterTile
t: 6,13 WallTile
t: 6,18 WallTile
t: 7,0 WallTile
t: 7,2 WaterTile
t: 7,3 WaterTile
t: 7,4 WaterTile
t: 7,5 WaterTile
t: 7,6 WaterTile
t: 7,7 WaterTile
t: 7,8 WaterTile
t: 7,9 WaterTile
t: 7,11 WallTile
t: 7,13 WallTile
t: 7,18 WallTile
t: 8,0 WallTile
t: 8,2 WaterTile
t: 8,3 WaterTile
t: 8,4 WaterTile
t: 8,5 WaterTile
t: 8,7 WaterTile
t: 8,8 WaterTile
t: 8,13 WallTile
t: 8,18 WallTile
t: 9,0 WallTile
t: 9,2 WaterTile
t: 9,3 WaterTile
t: 9,4 WaterTile
t: 9,6 WaterTile
t: 9,7 WaterTile
t: 9,10 WallTile
t: 9,11 WallTile
t: 9,13 WallTile
t: 9,18 WallTile
t: 10,0 WallTile
t: 10,1 WallTile
t: 10,2 WallTile
t: 10,3 WallTile
t: 10,4 WallTile
t: 10,5 WallTile
t: 10,13 WaterTile
t: 10,16 WallTile
t: 10,18 WallTile
t: 11,0 WallTile
t: 11,7 WallTile
t: 11,8 WallTile
t: 11,16 WallTile
t: 11,18 WallTile
t: 12,0 WallTile
t: 12,7 WaterTile
t: 12,8 WaterTile
t: 12,15 WallTile
t: 12,16 WallTile
t: 12,18 WallTile
t: 13,0 WallTile
t: 13,13 WallTile
t: 13,15 WallTile
t: 13,16 WallTile
t: 13,18 WallTile
t: 14,0 WallTile
t: 14,3 WallTile
t: 14,4 WallTile
t: 14,5 WallTile
t: 14,6 WallTile
t: 14,7 WallTile
t: 14,8 WallTile
t: 14,9 WallTile
t: 14,11 WallTile
t: 14,12 WallTile
t: 14,13 WallTile
t: 14,14 WallTile
t: 14,15 WallTile
t: 14,16 WallTile
t: 14,18 WallTile
t: 15,0 WallTile
t: 15,18 WallTile
t: 16,0 WallTile
t: 16,1 WallTile
t: 16,2 WallTile
t: 16,3 WallTile
t: 16,4 WallTile
t: 16,5 WallTile
t: 16,6 WallTile
t: 16,7 WallTile
t: 16,8 WallTile
t: 16,9 WallTile
t: 16,10 WallTile
t: 16,11 WallTile
t: 16,12 WallTile
t: 16,13 WallTile
t: 16,14 WallTile
t: 16,15 WallTile
t: 16,16 WallTile
t: 16,17 WallTile
t: 16,18 WallTile
e: 12,3 Pusher[1,1,1,1]
e: 11,11 Pusher[1;1;1]
e: 11,17 Pusher[1]
e: 8,15 Rotator[0,0,0;1,1,1;0,1,0]
e: 2,13 Pusher[1;1;1]
e: 2,9 Pusher[1,1,1]
e: 3,10 Pusher[1,1]
e: 2,17 Player
