# name: testlevel
size: 18,7
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 1,0 WallTile
t: 1,1 WallTile
t: 1,5 WallTile
t: 1,6 WallTile
t: 2,0 WallTile
t: 2,1 WallTile
t: 2,3 ExitTile
t: 2,5 WallTile
t: 2,6 WallTile
t: 3,0 WallTile
t: 3,1 WallTile
t: 3,5 WallTile
t: 3,6 WallTile
t: 4,0 WallTile
t: 4,1 WallTile
t: 4,2 WallTile
t: 4,4 WallTile
t: 4,5 WallTile
t: 4,6 WallTile
t: 5,0 WallTile
t: 5,1 WaterTile
t: 5,2 WaterTile
t: 5,4 WaterTile
t: 5,5 WaterTile
t: 5,6 WallTile
t: 6,0 WallTile
t: 6,1 WaterTile
t: 6,2 WaterTile
t: 6,3 WaterTile
t: 6,4 WaterTile
t: 6,5 WaterTile
t: 6,6 WallTile
t: 7,0 WallTile
t: 7,1 WaterTile
t: 7,2 WaterTile
t: 7,3 WaterTile
t: 7,4 WaterTile
t: 7,5 WaterTile
t: 7,6 WallTile
t: 8,0 WallTile
t: 8,2 WaterTile
t: 8,3 WaterTile
t: 8,4 WaterTile
t: 8,6 WallTile
t: 9,0 WallTile
t: 9,6 WallTile
t: 10,0 WallTile
t: 10,6 WallTile
t: 11,0 WallTile
t: 11,6 WallTile
t: 12,0 WallTile
t: 12,6 WallTile
t: 13,0 WallTile
t: 13,1 WallTile
t: 13,2 WallTile
t: 13,4 WallTile
t: 13,5 WallTile
t: 13,6 WallTile
t: 14,0 WallTile
t: 14,1 WallTile
t: 14,5 WallTile
t: 14,6 WallTile
t: 15,0 WallTile
t: 15,1 WallTile
t: 15,5 WallTile
t: 15,6 WallTile
t: 16,0 WallTile
t: 16,1 WallTile
t: 16,5 WallTile
t: 16,6 WallTile
t: 17,0 WallTile
t: 17,1 WallTile
t: 17,2 WallTile
t: 17,3 WallTile
t: 17,4 WallTile
t: 17,5 WallTile
t: 17,6 WallTile
e: 10,2 Pusher[1,1,1;1,1,1]
e: 15,3 Player
