# name: testlevel
size: 20,9
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 1,0 WallTile
t: 1,8 WallTile
t: 2,0 WallTile
t: 2,8 WallTile
t: 3,0 WallTile
t: 3,8 WallTile
t: 4,0 WallTile
t: 4,4 ExitTile
t: 4,8 WallTile
t: 5,0 WallTile
t: 5,8 WallTile
t: 6,0 WallTile
t: 6,8 WallTile
t: 7,0 WallTile
t: 7,1 WallTile
t: 7,2 WallTile
t: 7,6 WallTile
t: 7,7 WallTile
t: 7,8 WallTile
t: 8,0 WallTile
t: 8,8 WallTile
t: 9,0 WallTile
t: 9,8 WallTile
t: 10,0 WallTile
t: 10,8 WallTile
t: 11,0 WallTile
t: 11,1 WallTile
t: 11,2 WallTile
t: 11,6 WallTile
t: 11,7 WallTile
t: 11,8 WallTile
t: 12,0 WallTile
t: 12,8 WallTile
t: 13,0 WallTile
t: 13,8 WallTile
t: 14,0 WallTile
t: 14,8 WallTile
t: 15,0 WallTile
t: 15,8 WallTile
t: 16,0 WallTile
t: 16,8 WallTile
t: 17,0 WallTile
t: 17,8 WallTile
t: 18,0 WallTile
t: 18,8 WallTile
t: 19,0 WallTile
t: 19,1 WallTile
t: 19,2 WallTile
t: 19,3 WallTile
t: 19,4 WallTile
t: 19,5 WallTile
t: 19,6 WallTile
t: 19,7 WallTile
t: 19,8 WallTile
e: 7,4 Rotator[0,0,0;1,1,1;0,0,0]
e: 9,5 Rotator[0,1,0;0,1,1;0,0,0]
e: 9,3 Rotator[0,1,0;1,1,0;0,0,0]
e: 9,1 Pusher[1]
e: 9,7 Pusher[1]
e: 11,5 Pusher[1]
e: 11,4 Pusher[1]
e: 11,3 Pusher[1]
e: 15,4 Player
