# name: testlevel
size: 14,8
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 1,0 WallTile
t: 1,4 WallTile
t: 1,5 WallTile
t: 1,6 WallTile
t: 1,7 WallTile
t: 2,0 WallTile
t: 2,2 ExitTile
t: 2,4 WallTile
t: 2,5 WallTile
t: 2,6 WallTile
t: 2,7 WallTile
t: 3,0 WallTile
t: 3,4 WallTile
t: 3,5 WallTile
t: 3,6 WallTile
t: 3,7 WallTile
t: 4,0 WallTile
t: 4,1 WallTile
t: 4,3 WallTile
t: 4,4 WallTile
t: 4,5 WallTile
t: 4,6 WallTile
t: 4,7 WallTile
t: 5,0 WallTile
t: 5,7 WallTile
t: 6,0 WallTile
t: 6,7 WallTile
t: 7,0 WallTile
t: 7,7 WallTile
t: 8,0 WallTile
t: 8,7 WallTile
t: 9,0 WallTile
t: 9,1 WallTile
t: 9,2 WallTile
t: 9,3 WallTile
t: 9,4 WallTile
t: 9,6 WallTile
t: 9,7 WallTile
t: 10,0 WallTile
t: 10,1 WallTile
t: 10,2 WallTile
t: 10,3 WallTile
t: 10,7 WallTile
t: 11,0 WallTile
t: 11,1 WallTile
t: 11,2 WallTile
t: 11,3 WallTile
t: 11,7 WallTile
t: 12,0 WallTile
t: 12,1 WallTile
t: 12,2 WallTile
t: 12,3 WallTile
t: 12,7 WallTile
t: 13,0 WallTile
t: 13,1 WallTile
t: 13,2 WallTile
t: 13,3 WallTile
t: 13,4 WallTile
t: 13,5 WallTile
t: 13,6 WallTile
t: 13,7 WallTile
e: 5,3 Rotator[0,0,0;0,1,1;0,1,0]
e: 11,5 Player
e: 7,3 Pusher[1,1;1,1]
