# name: testlevel
size: 18,13
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 0,9 WallTile
t: 0,10 WallTile
t: 0,11 WallTile
t: 0,12 WallTile
t: 1,0 WallTile
t: 1,4 WallTile
t: 1,5 WallTile
t: 1,6 WallTile
t: 1,7 WallTile
t: 1,12 WallTile
t: 2,0 WallTile
t: 2,2 ExitTile
t: 2,4 WallTile
t: 2,5 WallTile
t: 2,6 WallTile
t: 2,7 WallTile
t: 2,12 WallTile
t: 3,0 WallTile
t: 3,4 WallTile
t: 3,5 WallTile
t: 3,6 WallTile
t: 3,7 WallTile
t: 3,12 WallTile
t: 4,0 WallTile
t: 4,1 WallTile
t: 4,2 WaterTile
t: 4,3 WallTile
t: 4,4 WallTile
t: 4,5 WallTile
t: 4,6 WallTile
t: 4,7 WallTile
t: 4,10 WallTile
t: 4,11 WallTile
t: 4,12 WallTile
t: 5,0 WallTile
t: 5,1 WallTile
t: 5,3 WallTile
t: 5,4 WallTile
t: 5,5 WallTile
t: 5,6 WallTile
t: 5,7 WallTile
t: 5,8 WallTile
t: 5,10 WallTile
t: 5,11 WallTile
t: 5,12 WallTile
t: 6,0 WallTile
t: 6,1 WallTile
t: 6,7 WallTile
t: 6,8 WallTile
t: 6,12 WallTile
t: 7,0 WallTile
t: 7,3 WallTile
t: 7,7 WallTile
t: 7,8 WallTile
t: 7,12 WallTile
t: 8,0 WallTile
t: 8,12 WallTile
t: 9,0 WallTile
t: 9,3 WallTile
t: 9,5 WallTile
t: 9,6 WallTile
t: 9,7 WallTile
t: 9,9 WallTile
t: 9,11 WallTile
t: 9,12 WallTile
t: 10,0 WallTile
t: 10,1 WallTile
t: 10,2 WallTile
t: 10,3 WallTile
t: 10,11 WallTile
t: 10,12 WallTile
t: 11,0 WallTile
t: 11,1 WallTile
t: 11,2 WallTile
t: 11,3 WallTile
t: 11,7 WallTile
t: 11,11 WallTile
t: 11,12 WallTile
t: 12,0 WallTile
t: 12,1 WallTile
t: 12,2 WallTile
t: 12,7 WallTile
t: 12,12 WallTile
t: 13,0 WallTile
t: 13,1 WallTile
t: 13,2 WallTile
t: 13,7 WallTile
t: 13,9 WallTile
t: 13,10 WallTile
t: 13,12 WallTile
t: 14,0 WallTile
t: 14,1 WallTile
t: 14,2 WallTile
t: 14,6 WallTile
t: 14,7 WallTile
t: 14,12 WallTile
t: 15,0 WallTile
t: 15,1 WallTile
t: 15,2 WallTile
t: 15,6 WallTile
t: 15,7 WallTile
t: 15,11 WallTile
t: 15,12 WallTile
t: 16,0 WallTile
t: 16,1 WallTile
t: 16,2 WallTile
t: 16,3 WallTile
t: 16,4 WallTile
t: 16,11 WallTile
t: 16,12 WallTile
t: 17,0 WallTile
t: 17,1 WallTile
t: 17,2 WallTile
t: 17,3 WallTile
t: 17,4 WallTile
t: 17,5 WallTile
t: 17,6 WallTile
t: 17,7 WallTile
t: 17,8 WallTile
t: 17,9 WallTile
t: 17,10 WallTile
t: 17,11 WallTile
t: 17,12 WallTile
e: 7,5 Rotator[0,0,0;0,1,1;0,1,0]
e: 7,10 Rotator[0,1,0;1,1,0;0,1,0]
e: 11,9 Rotator[0,1,0;1,1,0;0,0,0]
e: 11,5 Rotator[0,0,0;1,1,1;0,1,0]
e: 14,4 Rotator[0,1,0;1,1,1;0,1,0]
e: 2,10 Player
e: 13,8 Pusher[1]
e: 15,9 Rotator[0,1,0;1,1,1;0,1,0]
